month,Brazil,French Guiana,Guyana,Suriname,Peru,Panama,Costa Rica,Nicaragua,Paraguay,Honduras,Venezuela,Colombia,USA,Jamaica,Guatemala,Haiti,Dominican rep,Ecuador,El Salvador,Cuba,Belize,Bolivia,Argentina,Bonaire,Curacao,Antigua and Barbuda,Barbados,Bermuda,Bahamas,Dominica,Grenada,Martinique,Aruba,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Trinidad and Tobago,Saint Vincent and the Grenadines,British Virgin Islands,United States Virgin Islands,Guadeloupe,Turks and Caicos Islands,Saint Martin,Sint Maarten,Mexico
1,-30.75494,-2.4671354,-5.221426,-2.0504093,31.487324,-19.143637,6.9768972,13.588772,-13.028289,10.942762,-10.754965,35.25101,-1.7632791,-34.500435,10.059959,63.29482,36.005398,4.7643085,-70.78309,-29.96005,6.9872155,-6.774342,23.874489,-33.82866,-31.142675,-22.154873,34.195698,12.341833,-30.702572,-17.584658,22.22563,-0.53871274,-26.13752,49.73178,-17.512613,-3.3585668,6.1423373,27.307451,-26.602692,-13.535768,-14.981337,-35.555,-13.154894,-13.154894,-5.4928007
2,-2.866224,-12.28781,-26.337595,-16.746403,5.80988,7.929486,51.16367,-14.094676,9.624366,3.879802,40.750805,5.320911,-9.582277,13.402668,-4.411065,17.515997,90.54266,-23.424519,-27.035498,16.378569,-34.62958,1.4845825,-8.048212,-17.910576,-28.993814,-0.39166212,-6.248087,55.981956,6.632926,23.868835,-28.653038,52.994064,-29.478533,45.0816,9.342802,1.3066053,-40.056744,-6.7587795,19.109667,-4.3768525,-1.8171401,46.579075,-0.35714507,-0.35714507,60.00812
3,2.9973955,66.75904,-3.593959,43.07279,11.587131,-22.77275,-16.684402,24.359606,-16.467693,17.19252,-25.095022,-8.277724,10.234709,98.47085,57.037918,-2.961479,-37.286083,9.766377,26.41573,-22.275347,91.83381,-6.119603,-29.399366,18.845009,12.205923,-20.824957,87.44774,-27.902853,-48.523994,13.129032,-2.8395474,39.355206,37.166275,-31.444159,-14.707523,32.04541,21.443216,33.538914,-24.67652,-20.851791,0.688982,-35.382988,-31.121277,-31.121277,681.1343
4,6.248022,-19.15444,-6.2844615,-5.405713,28.40142,4.3739905,-3.4173703,40.113155,6.494978,0.41224724,-42.642467,-12.040941,70.88371,-45.49718,-12.560138,-57.58106,-71.96069,12.193743,-2.2676473,-37.38923,18.231335,62.89061,-30.998549,-70.90435,-60.044968,-11.052841,-27.983444,5.7818174,-19.985989,-13.214046,-42.303776,-2.6942909,-65.63183,-56.197277,-33.088833,-23.753542,-47.977882,-38.042873,-48.269306,-39.679592,-13.756807,-66.77204,-38.03625,-38.03625,47.49042
5,33.060402,44.43925,34.001274,41.340355,34.230244,-15.803739,-22.294504,-27.000568,67.346344,-28.345655,-25.473354,-13.331065,40.132904,-50.339138,-52.40612,-41.480232,-57.233196,27.741472,-50.17982,-15.9132805,-36.40564,87.1146,39.536167,-61.99233,-62.665783,-76.999435,-61.488594,-35.34693,-25.231756,-77.77181,-49.743217,-67.659485,-71.54628,-53.315617,-71.80739,-68.44951,-50.056683,-69.93668,-50.26489,-59.324955,-68.073784,-54.976463,-64.8347,-64.8347,23.951065
6,-30.15032,10.626234,8.996528,9.629947,-0.29236436,-22.193163,-15.8885355,26.297285,-23.734198,49.63706,-10.236886,-1.7728252,-2.9724996,-69.2757,-1.2193437,-50.87205,-44.430817,18.755745,-16.443735,7.2548585,29.68979,-16.022371,13.3873205,-66.128265,-68.21725,-52.45674,-50.71792,-25.642544,-19.46516,-55.672813,-41.725204,-50.83934,-76.18595,-32.274036,-55.46909,-42.678368,-2.4438515,-48.532528,-51.069153,-55.58764,-43.757797,-58.83336,-59.362507,-59.362507,5.381018
7,32.411587,-26.57401,12.587264,-7.624067,11.80121,4.083671,-2.0921657,-36.729813,112.40164,-38.584198,3.2955055,6.635065,-30.930923,-42.74871,-34.58132,-55.1791,-55.98295,43.250813,-53.59283,-45.041985,-34.139023,88.70502,-13.21637,-27.185541,-26.883947,-62.006634,-42.947735,40.526043,-62.10857,-54.719116,-28.727568,-52.024055,-51.00992,-47.505535,-66.59378,-49.908863,-13.487391,-37.479675,-67.31756,-54.25486,-51.50494,-61.107944,-65.90814,-65.90814,-34.273685
8,-50.40894,18.389488,2.8613527,-12.591834,-12.926787,-11.44052,-36.78516,-43.37736,-24.591133,-43.405743,-5.0985684,-10.985593,-20.541365,-47.30912,-50.08481,-32.311592,-15.874294,-18.591331,-63.22655,-28.405407,-54.431435,-21.82192,192.7572,-79.83182,-81.08306,56.45933,-24.476349,-17.601322,-40.688095,13.545883,-29.286396,-24.460167,-86.055305,-12.213832,47.43235,-38.737698,-35.391743,-34.34335,-26.78582,-8.25342,39.732944,-72.71591,-15.083551,-15.083551,-30.439266
9,-52.775387,-65.26291,-59.06043,-67.553535,-40.13546,-11.188038,-10.075891,0.5254773,17.670938,-7.306441,-43.89336,-36.159336,-18.143377,-60.659134,-3.37673,-34.5723,-35.241436,-34.03578,5.9870553,-15.744146,-10.73829,17.220793,-46.37991,-50.97612,-63.18729,-65.70903,-50.10749,79.68185,-24.002996,-52.35961,-28.38853,-48.271893,-82.27444,-26.366928,-49.922466,-44.27066,-39.66224,-54.324554,-58.704506,-53.133087,-48.034416,-34.471935,-45.28157,-45.28157,-8.455514
10,-44.927544,-60.17434,-63.50898,-70.9434,-22.334455,-10.07211,-15.839836,-3.2573404,-1.0558232,-12.185811,-22.686811,-15.066963,56.71531,-8.867011,0.2667899,-29.68872,-36.963802,35.879436,6.2086797,-2.3361342,20.288332,-13.06574,14.983492,-75.204735,-69.88843,-33.56573,-38.49867,33.083725,61.608356,-34.792976,-32.136566,-47.03636,-57.12843,-21.79856,-33.457954,-52.335297,-18.445797,-42.245853,-21.377165,-49.028492,-27.921753,120.94354,-26.644718,-26.644718,36.518288
