month,Bonaire,Curacao,Netherlands Antilles,Antigua and Barbuda,Argentina,Barbados,Bermuda,Bahamas,Belize,Bolivia,Brazil,Chile,Colombia,Costa Rica,Cuba,Dominica,Dominican Republic,Ecuador,El Salvador,French Guiana,Grenada,Guatemala,Guyana,Haiti,Honduras,Jamaica,Martinique,Mexico,Aruba,Suriname,Nicaragua,Paraguay,Peru,Panama,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Trinidad and Tobago,Saint Vincent and the Grenadines,Venezuela,British Virgin Islands,United States Virgin Islands,Guadeloupe,Turks and Caicos Islands,Saint Martin,Sint Maarten,United States
1,-67.87777,-67.080925,-26.030737,-28.309853,13.260725,-14.525784,52.751457,191.7092,-48.687202,-3.08784,28.9133,-34.10132,-58.86758,-38.420113,119.25403,-47.643703,-28.091614,-9.542601,-43.059532,-71.73144,-48.616337,-23.142185,-76.918846,-14.124708,-45.068142,-34.243137,-29.407177,-4.3812017,-59.591763,-78.42746,-51.17387,17.827679,-33.180637,-47.455387,-4.664676,-29.287792,-32.437313,-44.854256,-20.133722,-79.8988,-34.70462,-36.585587,-36.61226,-0.19602776,-23.98448,-23.98448,-9.406737
2,-75.43875,-79.095825,-0.7829547,-6.2787294,27.015703,-14.311737,-26.725943,-39.35491,48.147583,14.3096,-24.876179,-21.020823,-16.835415,30.587173,-28.39687,-15.526504,-4.965813,9.190645,-77.29665,-3.7255023,-45.60724,22.484766,-0.25994998,82.85329,46.827946,89.71262,7.037341,-60.85996,-68.53508,2.4717343,-22.287357,27.798754,17.601627,-38.70216,15.648258,-8.462876,-7.916999,-38.44922,-23.369455,-55.917175,8.449936,-12.829744,-6.79764,22.820175,8.2169895,8.2169895,-11.243739
3,-40.45173,-43.143642,30.382156,68.368706,-41.63618,33.378685,9.627449,-45.94436,35.709286,-25.704166,-3.363377,-51.326214,-19.92411,-38.3027,-32.41926,87.86708,-15.20316,6.889019,87.57741,11.063775,-9.645319,46.850155,-20.60993,-33.70511,62.172806,-34.88178,38.757874,206.99104,-32.834274,21.167978,-1.8282914,23.980661,-7.7020226,-59.58866,28.734116,49.838985,20.720005,-41.94316,11.393631,-33.9183,6.971264,29.396618,82.372314,-48.480118,14.710045,14.710045,7.0448027
4,-55.826385,-63.9715,29.654778,107.31642,46.782475,-57.794235,-35.657524,-30.866678,-12.044092,-9.096476,-34.66811,101.60619,4.142139,12.735212,-27.433704,-14.111662,68.309326,13.460623,27.562521,74.61049,-44.350212,-38.381165,71.78096,53.608574,-6.537986,50.10541,-20.045326,-3.6522644,-60.863483,99.65884,61.03104,-38.550972,-0.4888834,-6.887235,76.7344,60.138596,-35.11434,-24.447147,-47.551155,51.949146,81.84804,104.99811,12.571204,-2.432549,33.257805,33.257805,24.313356
5,-26.655037,-54.51007,-15.509004,-11.704045,14.359498,-17.506767,168.33607,3.4729934,-53.291904,-38.3845,-25.22176,-58.888,0.8534997,-11.152135,-4.198476,-2.866757,12.054207,-3.5843422,-45.503914,-6.9684186,8.371365,-57.866222,30.501911,36.431,-46.996914,21.764019,-21.097385,34.926605,-42.65212,31.201479,-18.582174,17.058495,-19.213568,-7.1882763,-7.057731,-12.266445,-31.131458,11.704564,-15.194458,15.784459,2.716875,8.610069,-3.3843322,97.3352,-11.288428,-11.288428,3.702225
6,-36.504734,-45.89435,-39.169365,-32.388123,33.1715,-4.90281,36.330235,-23.087244,37.05772,-33.258217,14.143055,-14.749105,-1.6423213,-11.341712,5.514571,-26.371103,-17.073217,4.861933,1.2563349,-11.231438,-9.8122835,1.0652194,15.798588,-33.17772,8.685272,-11.645535,5.5840316,26.86876,-37.250256,-11.355863,13.948528,-60.236797,-6.981253,-6.448815,-15.932286,-37.668377,-5.656755,-9.633794,-22.522617,-1.3722322,-26.314026,-13.729996,-16.8553,57.11124,-46.75681,-46.75681,-18.348244
7,-9.065628,-0.7225752,32.26458,13.964963,17.743284,1.8032789,-64.26791,-7.7884474,-15.491623,-38.443047,-58.61633,5.7019224,5.450812,-3.2066214,-15.276411,22.532177,-23.91037,-20.453314,-39.196285,21.92137,-15.753281,-23.297024,12.373201,-20.452488,-18.72091,-34.834614,19.258833,-30.224848,1.6433597,26.660625,-12.055231,-38.590443,-30.806732,4.586604,-8.689895,18.34755,2.0805955,-15.20191,-8.734852,1.0128909,11.281406,-0.8323014,13.512951,15.920019,19.879902,19.879902,-12.432704
8,-64.59755,-66.93645,-6.311387,-17.744328,-17.264038,-32.42802,-41.5592,0.6096193,46.247078,56.39844,-1.1867533,-21.605143,-20.690098,-14.623157,-1.3956207,-36.252148,16.510218,-28.79511,-15.409666,-13.296684,-21.39538,18.136852,3.7349608,-11.031767,13.764623,10.111971,-28.991037,36.081833,-76.50437,1.6119767,-0.8094477,41.27461,-11.30282,-11.295406,6.4610343,-14.540124,-32.4445,-1.6517437,-30.093843,-16.099178,-4.807848,-10.670126,-14.334818,-17.447388,4.6364665,4.6364665,10.891975
9,48.241413,32.37008,-27.014362,-20.142216,-46.559967,22.844337,68.24576,-30.369938,-5.568396,2.666004,28.65263,-61.35527,-6.4382467,-14.419587,-17.592554,34.40858,-47.39722,0.75766504,-26.546524,131.86461,-2.3965,-6.0616574,29.940855,-43.71209,-13.478137,-51.2692,63.679844,8.373457,-12.3000145,105.00466,-2.5208173,-60.90182,-12.304249,-10.492356,-15.529243,-19.19172,69.46097,9.132271,40.04521,14.669984,-58.506393,-34.65805,-3.821447,-68.32439,-38.58417,-38.58417,4.4458423
10,-52.976597,-44.368343,-17.732424,-22.406239,45.367653,-11.78987,25.151562,77.802925,-28.465763,-2.4794443,-3.4197335,-9.465205,2.9791617,18.84245,13.091001,-16.282421,60.05285,-11.761688,-32.265995,-38.201466,-39.450294,-39.106968,-19.122862,154.40784,-14.461553,8.683613,-1.8500149,-47.882168,-35.59649,8.72461,46.067543,-12.112004,-0.14459665,3.1577313,8.043578,-13.968992,-10.377079,-20.34167,-25.587427,-1.7127464,-5.7807865,-23.532206,-21.94928,43.28388,-8.67244,-8.67244,8.968612
11,103.32608,90.89532,56.12544,90.36244,-12.042146,23.706936,-11.6629715,-68.611145,-5.220832,-8.062986,-14.637901,-12.603392,6.1480594,45.81094,-67.271255,73.782715,159.16357,-27.326027,40.730915,-46.361835,75.64049,9.892149,-0.52669126,37.711792,36.29064,-8.942304,82.15569,19.255983,156.60442,1.0490566,47.866608,-8.8331785,-27.4186,63.588955,185.23024,79.85554,117.00082,-8.992773,74.242805,24.911133,86.873924,94.78191,63.367004,-31.276834,57.60721,57.60721,-17.682957
12,67.37217,64.8954,17.924463,8.175039,-8.679255,34.848915,-34.083015,-25.13656,32.674545,-17.813736,5.0700746,50.813828,46.217323,89.35359,-57.36503,35.076355,-18.493502,6.2463446,347.57327,67.41167,12.621307,15.558363,61.08917,-60.558586,101.91803,-46.280346,36.020714,40.686752,56.12607,82.92613,189.0448,-5.978297,7.6184735,-2.0080574,-1.1643747,13.29577,30.369139,26.660198,26.177729,61.05599,8.687496,23.322784,30.92498,-57.1514,18.024158,18.024158,27.910784
