month,Brazil,French Guiana,Guyana,Suriname,Peru,Panama,Costa Rica,Nicaragua,Paraguay,Honduras,Venezuela,Colombia,USA,Jamaica,Guatemala,Haiti,Dominican rep,Ecuador,El Salvador,Cuba,Belize,Bolivia,Argentina,Bonaire,Curacao,Antigua and Barbuda,Barbados,Bermuda,Bahamas,Dominica,Grenada,Martinique,Aruba,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Trinidad and Tobago,Saint Vincent and the Grenadines,British Virgin Islands,United States Virgin Islands,Guadeloupe,Turks and Caicos Islands,Saint Martin,Sint Maarten,Mexico
1,32.249214,-71.73144,-76.918846,-78.42746,-32.69493,-47.327267,-40.42291,-51.60307,18.636396,-44.20092,-80.68479,-63.157352,23.14647,-35.14421,-25.712181,-13.309415,-28.809082,-15.837576,-42.18664,117.98493,-48.426052,8.000598,-20.176811,-67.87777,-67.080925,-28.309853,-14.525784,52.751457,191.7092,-47.643703,-48.616337,-29.407177,-59.591763,-4.664676,-29.287792,-32.437313,-44.854256,-20.133722,-34.70462,-36.585587,-36.61226,-0.19602776,-23.98448,-23.98448,8.27884
2,-27.131632,-3.7255023,-0.25994998,2.4717343,18.300188,-38.32389,21.08654,-22.502756,27.95253,50.999393,-56.287357,-17.717884,-15.114316,99.458244,29.998459,82.44523,-1.9376633,15.323888,-75.98052,-28.301008,47.47645,13.221769,16.876156,-75.43875,-79.095825,-6.2787294,-14.311737,-26.725943,-39.35491,-15.526504,-45.60724,7.037341,-68.53508,15.648258,-8.462876,-7.916999,-38.44922,-23.369455,8.449936,-12.829744,-6.79764,22.820175,8.2169895,8.2169895,-40.13538
3,-6.508312,11.063775,-20.60993,21.167978,-1.145462,-59.847443,-39.63516,-1.1893065,23.071972,58.93468,-34.19153,-20.831718,40.345695,-33.70973,42.288456,-33.153008,-16.178446,7.453275,85.72548,-32.552254,34.96573,-12.973986,-9.760974,-40.45173,-43.143642,68.368706,33.378685,9.627449,-45.94436,87.86708,-9.645319,38.757874,-32.834274,28.734116,49.838985,20.720005,-41.94316,11.393631,6.971264,29.396618,82.372314,-48.480118,14.710045,14.710045,385.49033
4,-36.6465,74.61049,71.78096,99.65884,-3.9440277,-8.0146675,18.7044,60.79338,-38.749535,-6.682497,53.379105,2.447785,52.00547,51.240147,-42.722687,54.12473,68.399765,16.823765,27.696436,-26.899582,-11.295866,-9.839065,16.877117,-55.826385,-63.9715,107.31642,-57.794235,-35.657524,-30.866678,-14.111662,-44.350212,-20.045326,-60.863483,76.7344,60.138596,-35.11434,-24.447147,-47.551155,81.84804,104.99811,12.571204,-2.432549,33.257805,33.257805,-5.371269
5,-27.440525,-6.9684186,30.501911,31.201479,-8.230845,-8.108611,-11.048409,-18.460838,18.74579,-46.1939,16.130283,0.40042654,35.67694,27.48171,-60.366077,39.483826,11.867558,-2.904353,-45.226894,-3.6714213,-52.706917,-29.634535,-44.330837,-26.655037,-54.51007,-11.704045,-17.506767,168.33607,3.4729934,-2.866757,8.371365,-21.097385,-42.65212,-7.057731,-12.266445,-31.131458,11.704564,-15.194458,2.716875,8.610069,-3.3843322,97.3352,-11.288428,-11.288428,19.327618
6,16.43554,-11.231438,15.798588,-11.355863,-6.993399,-6.0801067,-11.475147,13.983416,-59.974316,8.637978,-0.7145654,-1.823392,20.923046,-11.868358,0.78631616,-32.96416,-19.546085,-3.1434445,1.7340147,5.1134615,35.633263,-41.072018,7.196058,-36.504734,-45.89435,-32.388123,-4.90281,36.330235,-23.087244,-26.371103,-9.8122835,5.5840316,-37.250256,-15.932286,-37.668377,-5.656755,-9.633794,-22.522617,-26.314026,-13.729996,-16.8553,57.11124,-46.75681,-46.75681,12.453271
7,-60.58411,21.92137,12.373201,26.660625,-36.716423,5.3256793,-3.2486553,-12.033435,-39.780853,-17.651098,1.3114464,6.1613054,-31.35154,-34.48569,-21.911922,-19.261913,-25.15749,-22.589767,-38.940052,-15.100466,-15.388616,-70.66619,-11.850432,-9.065628,-0.7225752,13.964963,1.8032789,-64.26791,-7.7884474,22.532177,-15.753281,19.258833,1.6433597,-8.689895,18.34755,2.0805955,-15.20191,-8.734852,11.281406,-0.8323014,13.512951,15.920019,19.879902,19.879902,-18.96314
8,-4.698529,-13.296684,3.7349608,1.6119767,-7.5216603,-11.283806,-14.829037,-0.5003747,41.545303,15.023225,-15.646049,-20.328428,134.8776,10.114338,22.285103,-13.772274,16.344954,-31.973104,-15.583372,-1.4814174,45.70354,92.58188,12.25929,-64.59755,-66.93645,-17.744328,-32.42802,-41.5592,0.6096193,-36.252148,-21.39538,-28.991037,-76.50437,6.4610343,-14.540124,-32.4445,-1.6517437,-30.093843,-4.807848,-10.670126,-14.334818,-17.447388,4.6364665,4.6364665,14.061621
9,37.232788,131.86461,29.940855,105.00466,-8.416264,-10.047861,-13.432088,-2.8436017,-61.109264,-11.852968,15.430407,-6.434417,-6.0769653,-50.69601,-4.4179835,-42.12293,-48.296314,-0.7871842,-26.31689,-17.666157,-5.5982814,-6.6295466,-71.520294,48.241413,32.37008,-20.142216,22.844337,68.24576,-30.369938,34.40858,-2.3965,63.679844,-12.3000145,-15.529243,-19.19172,69.46097,9.132271,40.04521,-58.506393,-34.65805,-3.821447,-68.32439,-38.58417,-38.58417,-10.976037
10,-4.5446324,-38.201466,-19.122862,8.72461,-2.2427258,1.9619637,17.108768,45.86799,-13.238343,-10.672577,-1.6552116,2.652091,-45.767605,11.889744,-35.210518,158.05505,61.739803,-15.42352,-31.71654,13.37525,-28.163635,0.25130963,39.69291,-52.976597,-44.368343,-22.406239,-11.78987,25.151562,77.802925,-16.282421,-39.450294,-1.8500149,-35.59649,8.043578,-13.968992,-10.377079,-20.34167,-25.587427,-5.7807865,-23.532206,-21.94928,43.28388,-8.67244,-8.67244,-37.614754
