month,Bonaire,Curacao,Netherlands Antilles,Antigua and Barbuda,Argentina,Barbados,Bermuda,Bahamas,Belize,Bolivia,Brazil,Chile,Colombia,Costa Rica,Cuba,Dominica,Dominican Republic,Ecuador,El Salvador,French Guiana,Grenada,Guatemala,Guyana,Haiti,Honduras,Jamaica,Martinique,Mexico,Aruba,Suriname,Nicaragua,Paraguay,Peru,Panama,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Trinidad and Tobago,Saint Vincent and the Grenadines,Venezuela,British Virgin Islands,United States Virgin Islands,Guadeloupe,Turks and Caicos Islands,Saint Martin,Sint Maarten,United States
1,0.1367054,0.168396,0.3623085,0.2962818,0.8037793,0.071870804,0.985466,0.6636392,0.5640797,1.5759205,0.84620446,1.2992284,1.8575388,0.9055194,0.5562639,0.35355186,0.6697834,1.8605499,0.59558904,1.0120457,0.0970211,0.7892032,0.7940441,0.8202341,0.73715097,1.0131004,0.35093117,-0.6631279,0.118637085,1.0530835,0.71584815,1.0523514,1.7161727,1.2749141,0.6152172,0.34820747,0.33265877,0.34946632,0.111543655,1.9080579,0.531641,0.4904995,0.3102169,0.97883606,0.35827446,0.35827446,0.2679528
2,0.34601593,0.3280201,0.51122284,0.4081154,1.1485113,0.33221245,0.90434647,-0.25314894,-0.88800335,1.3467792,1.2762338,0.8366408,1.3980045,0.6724866,-0.49258536,0.3906002,0.67295855,1.2693888,-0.31168053,0.6543086,0.42341423,-0.71663946,0.5010152,0.44467202,-0.4498527,0.4183927,0.43383312,0.8885452,0.36893463,0.52329105,0.4075088,1.2944571,1.0635611,1.0617641,0.61279994,0.50424576,0.49988937,0.6957649,0.3859768,1.9085788,0.4995823,0.5561447,0.42657375,0.36363602,0.4635563,0.4635563,2.4454873
3,0.5940361,0.60790825,0.3656044,0.29247475,0.066918775,0.3335247,1.7317848,1.0222447,1.2308861,0.80431426,0.9707143,1.2890615,1.5642846,1.014156,0.9585126,0.32028008,0.926925,1.3757179,1.0682118,0.8071139,0.5021286,1.4893979,0.8874838,0.9839085,1.3042262,0.97533125,0.3738098,0.8359712,0.679718,0.72145957,1.1233666,-1.2898475,1.2348803,1.1198478,0.40019765,0.3324623,0.34264565,0.9231842,0.40083122,2.049804,0.47058105,0.43947983,0.24519777,0.9070225,0.39710426,0.39710426,2.6406999
4,0.554945,0.5339947,0.54507256,0.45738602,-0.8609717,0.60121346,0.4518814,0.51107013,0.8160823,1.0427724,1.3096834,-0.4177018,0.92479116,0.8586666,0.5385748,0.65864754,0.66152185,1.1371806,0.9630169,0.64000374,0.7244625,1.4113503,0.29408377,0.6075413,1.1232022,0.61964935,0.7389412,0.46426734,0.49681282,0.3409787,1.0498976,1.6452643,0.8382763,0.9861708,0.37827572,0.5371113,0.82419395,0.85133207,0.68948936,0.6797921,0.548996,0.5077019,0.5588455,0.5003853,0.5556774,0.5556774,0.7898548
5,0.52394867,0.52689934,0.36057472,0.26770973,-1.2292995,0.41773987,1.3360958,0.661033,1.2150762,-0.20596953,0.81308246,0.7521761,0.7701144,0.83088,0.5709568,0.3886528,0.4785802,1.2234399,1.1794764,0.92072946,0.364933,1.6906755,0.33091927,0.47259408,1.3923516,0.56055605,0.4441576,0.27347383,0.63295174,0.47546485,1.1197755,-1.8071876,0.70354486,0.90773654,0.4896172,0.3482628,0.52540016,0.2987278,0.40433884,0.30874422,0.38558197,0.36017418,0.27515125,0.58891106,0.29689407,0.29689407,-0.21599358
6,0.28477287,0.24807167,0.2320633,0.1880703,-1.2832954,0.1953125,0.4833145,0.69137734,0.2698331,-1.0419633,0.20745891,0.7181684,0.5049692,0.17431062,0.1993056,0.24516296,0.20711783,0.8609451,0.572573,0.4003828,0.28118896,0.66107917,0.19212107,0.23086934,0.4413941,0.28253287,0.139225,0.15031007,0.2998619,0.26812157,0.24751377,-3.5540566,0.34893996,0.584302,0.27548409,0.23869705,0.14550781,0.28608933,0.23820877,0.4341926,0.184412,0.22179413,0.24153948,0.39919853,0.19184113,0.19184113,1.6086992
7,0.34511185,0.34885597,0.17884064,0.14770317,-0.035292674,0.28941917,0.6073208,0.6617672,0.80445564,1.5113533,1.0186552,0.8156962,0.45061845,0.44007757,0.44244075,0.22864914,0.477588,1.0269651,1.2802097,0.5693271,0.45546913,0.9766884,0.4454777,0.35327464,0.8586403,0.68386817,0.20191002,1.0450054,0.3896656,0.3553282,0.65071404,0.74752843,0.93263155,0.44757432,0.26247945,0.20535278,0.3000393,0.64555436,0.3208542,0.70395577,0.13660812,0.17748642,0.21369171,0.17633438,0.12924767,0.12924767,0.72720873
8,0.37000465,0.3995571,0.4325428,0.3645935,1.067295,0.52601814,0.6729641,0.45435143,0.64011085,0.8329258,0.95248824,0.81373423,0.7599864,0.71495366,0.4025859,0.5712776,0.22024927,1.206059,0.86586034,0.83802134,0.63041115,0.74783045,0.60358083,0.34406883,0.78994286,0.3507608,0.6535082,0.023235563,0.3787136,0.5619217,0.7978576,0.7275525,0.83197725,0.8838604,0.2244064,0.4337616,0.77910423,0.5597088,0.5882778,0.83956265,0.31981277,0.3699379,0.46657658,0.2947693,0.38947296,0.38947296,0.48036027
9,0.19219589,0.19616318,0.32678986,0.28812027,0.409488,0.37976074,0.9702244,0.518324,0.4661905,-0.029492144,0.21517502,1.5916368,0.5067028,0.450328,0.29516768,0.36402702,0.7124149,0.8196496,0.92252815,0.65000504,0.24402428,0.52454716,0.3917233,0.75161016,0.5588111,0.9456628,0.3796358,0.35558417,0.2665615,0.10119299,0.50444233,-1.1394739,0.43565312,0.64401484,0.34253773,0.2886181,0.5275135,0.5114563,0.20156097,0.5716598,0.36876106,0.3966465,0.38170338,0.5018654,0.36618042,0.36618042,0.9128986
10,0.70383644,0.61909676,0.4560585,0.39884186,-0.3454251,0.46849442,0.43564034,0.06339665,0.368327,0.3235722,0.51917917,0.813212,0.639416,0.39345825,0.051124252,0.44558334,0.5574558,0.80574036,1.2570896,0.8435864,0.626791,0.5233419,1.1886791,0.24091482,0.5112393,0.562049,0.45359993,1.3039112,0.4643669,0.6217881,0.51744306,0.07889214,0.37621477,0.5271691,0.5166214,0.4440155,0.44433212,0.9523346,0.6021309,0.6882397,0.4416542,0.45101166,0.43960094,0.13846207,0.42387772,0.42387772,1.9568057
