month,Brazil,French Guiana,Guyana,Suriname,Peru,Panama,Costa Rica,Nicaragua,Paraguay,Honduras,Venezuela,Colombia,USA,Jamaica,Guatemala,Haiti,Dominican rep,Ecuador,El Salvador,Cuba,Belize,Bolivia,Argentina,Bonaire,Curacao,Antigua and Barbuda,Barbados,Bermuda,Bahamas,Dominica,Grenada,Martinique,Aruba,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Trinidad and Tobago,Saint Vincent and the Grenadines,British Virgin Islands,United States Virgin Islands,Guadeloupe,Turks and Caicos Islands,Saint Martin,Sint Maarten,Mexico
1,0.8740928,1.0120457,0.7940441,1.0530835,1.7506211,1.2700257,0.90513337,0.7154896,1.0453223,0.74544716,1.9253561,1.89292,-0.71056515,1.0051548,0.72172135,0.830763,0.67879695,1.8787398,0.59618783,0.55620384,0.5726636,1.4382054,1.5247533,0.1367054,0.168396,0.2962818,0.071870804,0.985466,0.6636392,0.35355186,0.0970211,0.35093117,0.118637085,0.6152172,0.34820747,0.33265877,0.34946632,0.111543655,0.531641,0.4904995,0.3102169,0.97883606,0.35827446,0.35827446,-0.48163623
2,1.2956824,0.6543086,0.5010152,0.52329105,0.7724762,1.0461859,0.69351816,0.40493825,1.2824343,-0.36603537,1.9239305,1.3731062,0.69593614,0.39136848,-0.7697831,0.43435588,0.6711808,1.0985978,-0.2929784,-0.49105525,-0.8766733,1.1494294,1.8049415,0.34601593,0.3280201,0.4081154,0.33221245,0.90434647,-0.25314894,0.3906002,0.42341423,0.43383312,0.36893463,0.61279994,0.50424576,0.49988937,0.6957649,0.3859768,0.4995823,0.5561447,0.42657375,0.36363602,0.4635563,0.4635563,-0.07921377
3,1.0991864,0.8071139,0.8874838,0.72145957,1.0071278,1.1139452,1.0148482,1.1268475,-1.2848846,1.2809445,2.065285,1.5581875,2.2024798,0.9646337,1.448791,0.9912578,0.9284371,1.2373486,1.0641645,0.9597638,1.2443322,0.40890208,-1.6794459,0.5940361,0.60790825,0.29247475,0.3335247,1.7317848,1.0222447,0.32028008,0.5021286,0.3738098,0.679718,0.40019765,0.3324623,0.34264565,0.9231842,0.40083122,0.47058105,0.43947983,0.24519777,0.9070225,0.39710426,0.39710426,0.5242013
4,1.2519997,0.64000374,0.29408377,0.3409787,0.783853,0.9900344,0.8581953,1.0534148,1.6480409,1.108417,0.6729818,0.90398717,0.6105136,0.6108393,1.3936548,0.60624635,0.66197354,1.0458484,0.956958,0.5354842,0.8310238,0.8406505,1.0637985,0.554945,0.5339947,0.45738602,0.60121346,0.4518814,0.51107013,0.65864754,0.7244625,0.7389412,0.49681282,0.37827572,0.5371113,0.82419395,0.85133207,0.68948936,0.548996,0.5077019,0.5588455,0.5003853,0.5556774,0.5556774,0.5306078
5,0.96675885,0.92072946,0.33091927,0.47546485,0.6532884,0.9078018,0.82073206,1.1232834,-1.8191614,1.3691396,0.29660907,0.75662994,-0.21060511,0.53970784,1.7373905,0.4722769,0.4810451,1.156856,1.1729032,0.56716746,1.2059212,-0.57228184,-1.9786402,0.52394867,0.52689934,0.26770973,0.41773987,1.3360958,0.661033,0.3886528,0.364933,0.4441576,0.63295174,0.4896172,0.3482628,0.52540016,0.2987278,0.40433884,0.38558197,0.36017418,0.27515125,0.58891106,0.29689407,0.29689407,0.80465454
6,0.4401135,0.4003828,0.19212107,0.26812157,0.21517403,0.58945435,0.16841061,0.2463085,-3.5806706,0.43334562,0.4327387,0.50186276,0.5376338,0.2826772,0.67197496,0.20969342,0.21760088,0.8830236,0.5717552,0.19768001,0.27623764,-1.600394,-3.37002,0.28477287,0.24807167,0.1880703,0.1953125,0.4833145,0.69137734,0.24516296,0.28118896,0.139225,0.2998619,0.27548409,0.23869705,0.14550781,0.28608933,0.23820877,0.184412,0.22179413,0.24153948,0.39919853,0.19184113,0.19184113,0.0928768
7,1.0793355,0.5693271,0.4454777,0.3553282,1.041213,0.44843784,0.44454995,0.6514259,0.7594065,0.8436425,0.7073915,0.43989396,1.1979624,0.6711005,1.0261015,0.3412043,0.48373806,1.0776584,1.2767009,0.4382648,0.8030047,1.6358843,0.076601945,0.34511185,0.34885597,0.14770317,0.28941917,0.6073208,0.6617672,0.22864914,0.45546913,0.20191002,0.3896656,0.26247945,0.20535278,0.3000393,0.64555436,0.3208542,0.13660812,0.17748642,0.21369171,0.17633438,0.12924767,0.12924767,0.6931709
8,1.02087,0.83802134,0.60358083,0.5619217,0.932478,0.8885395,0.703115,0.79990345,0.7316206,0.7858897,0.83969164,0.7701237,0.14030813,0.36193708,0.74729,0.35936895,0.21601483,1.2478921,0.8625855,0.39927194,0.65253115,0.8611113,0.8765288,0.37000465,0.3995571,0.3645935,0.52601814,0.6729641,0.45435143,0.5712776,0.63041115,0.6535082,0.3787136,0.2244064,0.4337616,0.77910423,0.5597088,0.5882778,0.31981277,0.3699379,0.46657658,0.2947693,0.38947296,0.38947296,0.3917038
9,0.25134695,0.65000504,0.3917233,0.10119299,0.28781864,0.6455293,0.45836997,0.50517786,-1.1567292,0.5347569,0.5657566,0.5010101,1.0621959,0.9320826,0.51437914,0.7433553,0.7298187,0.8558315,0.92245877,0.2959339,0.4711555,-0.4469937,-0.8234852,0.19219589,0.19616318,0.28812027,0.37976074,0.9702244,0.518324,0.36402702,0.24402428,0.3796358,0.2665615,0.34253773,0.2886181,0.5275135,0.5114563,0.20156097,0.36876106,0.3966465,0.38170338,0.5018654,0.36618042,0.36618042,0.5573987
10,0.57928205,0.8435864,1.1886791,0.6217881,0.48501775,0.5304949,0.3854063,0.5183581,0.10180395,0.49919713,0.68780535,0.62296605,1.8324327,0.5173771,0.5603441,0.24047601,0.53096217,0.81062883,1.2626195,0.05049827,0.36726692,0.36027923,-0.86579007,0.70383644,0.61909676,0.39884186,0.46849442,0.43564034,0.06339665,0.44558334,0.626791,0.45359993,0.4643669,0.5166214,0.4440155,0.44433212,0.9523346,0.6021309,0.4416542,0.45101166,0.43960094,0.13846207,0.42387772,0.42387772,1.0118774
