month,Bonaire,Curacao,Netherlands Antilles,Antigua and Barbuda,Argentina,Barbados,Bermuda,Bahamas,Belize,Bolivia,Brazil,Chile,Colombia,Costa Rica,Cuba,Dominica,Dominican Republic,Ecuador,El Salvador,French Guiana,Grenada,Guatemala,Guyana,Haiti,Honduras,Jamaica,Martinique,Mexico,Aruba,Suriname,Nicaragua,Paraguay,Peru,Panama,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Trinidad and Tobago,Saint Vincent and the Grenadines,Venezuela,British Virgin Islands,United States Virgin Islands,Guadeloupe,Turks and Caicos Islands,Saint Martin,Sint Maarten,United States
1,48.466667,57.756477,37.251896,45.144596,91.503586,45.517593,113.51816,40.88233,85.1635,245.09834,241.30399,134.87564,157.62146,120.52909,26.05129,69.54386,42.40602,298.21997,2.889689,198.72063,60.059193,62.002277,119.4685,27.778168,73.1729,38.142525,58.42144,26.488314,42.927788,134.96173,60.27356,152.19972,256.55322,89.024475,41.645145,41.456223,44.86682,78.85931,46.84499,67.04571,41.289192,39.78065,72.84014,34.170277,39.567448,39.567448,60.048492
2,28.45352,33.33385,28.830233,32.698166,82.46505,31.639536,109.72053,36.4216,52.352657,217.83986,221.52902,107.28772,172.76831,82.1384,26.462397,44.331528,40.241554,336.50012,3.2606795,176.64427,35.3746,39.725506,96.589226,30.051565,47.65592,34.150013,40.27585,22.318743,24.773886,119.80595,41.375427,149.38528,260.03027,71.13376,38.47694,31.71754,33.525223,53.600227,32.699753,68.212555,32.450176,31.03281,51.771675,27.235058,32.39031,32.39031,56.647938
3,25.017298,28.765999,29.912985,33.416958,87.31851,33.599102,114.38069,43.376484,53.890045,188.07445,236.37013,126.76117,251.1744,83.1242,35.92179,45.445786,61.229904,370.06854,11.94777,153.36049,37.59581,51.588078,98.294235,55.627403,48.403862,50.557224,42.59412,18.569162,20.528334,116.88841,33.629486,129.624,272.06876,83.67957,55.009094,32.152493,37.606953,49.97989,34.517277,99.65128,32.9077,32.45376,49.82469,36.356186,33.86428,33.86428,70.48578
4,41.33627,42.24531,40.74636,45.06029,69.54602,42.928295,100.27471,45.54223,59.194733,105.74256,190.26854,142.4825,348.45706,121.2935,47.44345,61.65063,97.81328,356.57047,45.332584,201.15025,43.505577,77.703445,163.32571,85.19548,54.238087,76.04487,55.40995,25.93051,30.18545,177.29965,43.35149,128.72238,202.89354,160.82465,89.38911,43.443443,50.82106,58.816963,46.315456,184.74107,46.685074,43.271122,66.63098,43.70184,44.517113,44.517113,72.59755
5,45.864697,57.069637,80.38061,82.764534,48.363857,56.948803,93.504074,84.143616,124.498055,63.988045,137.94194,163.35172,397.97235,359.94852,123.77527,84.523155,152.91002,301.55554,205.22998,286.05292,71.60095,177.37865,276.95123,135.10048,170.57622,145.7963,77.64862,46.91179,42.052303,270.618,173.7421,109.74393,142.92868,343.66907,148.2707,80.47959,65.59859,102.53357,66.5323,284.1027,92.67449,97.42394,96.935684,75.33887,82.224335,82.224335,80.752
6,59.954403,62.789787,60.45417,65.90182,41.41947,93.13902,111.7896,104.53542,202.6971,40.92581,81.94126,181.00714,360.4567,395.7293,138.39455,87.99775,112.99635,233.76324,251.43199,224.85504,132.35558,283.6372,274.4607,96.83926,210.6711,103.24964,91.1967,110.05947,30.802673,239.66107,234.92862,86.7393,106.46086,361.46918,95.596985,62.360294,79.543495,179.3892,106.08159,300.29453,70.52703,76.37881,90.120026,54.441154,63.543903,63.543903,76.15995
7,72.03854,66.51931,78.15401,89.910446,37.76755,126.20515,122.52248,78.143974,183.83568,34.585583,63.094795,162.58104,329.18478,376.91156,95.72386,117.79479,92.61694,210.15869,183.63968,150.64235,154.1763,213.14828,231.62784,75.30031,178.55472,87.13527,119.67703,141.88005,34.01813,182.34608,216.37279,65.65755,89.34166,362.82175,93.52905,84.22105,98.7972,194.15463,131.9704,296.06754,86.83581,92.84605,114.197464,49.16166,80.12826,80.12826,68.326485
8,73.49019,71.27768,94.7216,110.41113,39.039665,150.07445,140.0564,109.799034,178.56023,38.709988,54.141666,157.97604,297.40146,392.8501,117.182884,138.09132,116.79935,175.06512,230.03035,82.835175,170.5112,234.4423,171.5793,104.5021,190.41685,117.26995,138.6339,141.00793,40.373512,120.0288,210.93816,59.905254,93.39537,377.40695,117.74929,101.77049,115.507164,196.30576,155.41342,255.77866,107.73754,116.51258,129.54044,88.91504,97.325455,97.325455,65.1682
9,84.64666,92.252846,125.95506,135.20027,48.528214,142.83278,131.44615,125.711716,210.88673,71.13589,79.232086,122.87323,291.27676,409.19073,147.61292,148.37639,131.52174,187.28975,304.28677,38.138874,157.96872,297.60736,103.80598,125.991394,229.39685,159.67276,144.36319,145.53156,80.09899,60.63792,229.28532,98.107994,129.42888,365.585,150.05968,128.66307,113.90015,154.95424,155.51025,198.31686,138.84843,149.2429,145.87402,119.18552,126.16382,126.16382,65.32578
10,137.15475,151.32077,135.05542,153.03575,74.32365,161.57253,155.63303,127.699425,195.81267,117.3555,124.25486,128.92325,314.30457,460.8128,120.65947,170.28725,135.83286,211.07304,236.9793,52.356094,169.90547,234.39996,101.92615,133.74788,228.66089,155.54129,165.37064,76.768974,132.85681,59.421402,237.47952,145.38292,173.87273,414.7143,149.72305,141.80838,137.45543,179.88797,167.22113,193.04713,141.41975,150.2401,161.11307,120.87823,140.7972,140.7972,62.97077
11,154.05814,173.37845,113.61071,115.702835,78.777374,144.92212,96.83913,76.618614,134.92671,159.40735,168.22392,129.10211,284.5144,363.77954,55.560112,147.88756,82.608185,220.67578,44.578815,93.75797,173.81334,115.053085,124.76814,68.04059,141.97678,82.59543,135.11227,34.112568,143.31387,88.24228,131.5194,149.7362,197.73555,358.5443,99.735115,117.91409,111.28963,208.36133,150.13077,166.94705,126.95084,130.90411,135.5592,80.68084,116.48061,116.48061,63.26313
12,94.09215,103.76556,56.647312,67.75244,88.95378,60.714138,114.07998,45.09257,90.600945,218.88487,215.0685,136.84982,206.54016,213.0249,32.768288,85.69577,51.375866,251.01398,7.0280814,161.60756,88.98397,71.448135,135.16844,34.462162,84.66194,51.83708,68.38527,26.79262,82.25087,118.990685,75.62122,158.55052,232.87328,204.94293,50.27789,63.648365,54.51464,133.13493,66.75891,105.8713,56.770596,59.873135,85.93773,53.190853,57.332348,57.332348,63.116203
