month,Brazil,French Guiana,Guyana,Suriname,Peru,Panama,Costa Rica,Nicaragua,Paraguay,Honduras,Venezuela,Colombia,USA,Jamaica,Guatemala,Haiti,Dominican rep,Ecuador,El Salvador,Cuba,Belize,Bolivia,Argentina,Bonaire,Curacao,Antigua and Barbuda,Barbados,Bermuda,Bahamas,Dominica,Grenada,Martinique,Aruba,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Trinidad and Tobago,Saint Vincent and the Grenadines,British Virgin Islands,United States Virgin Islands,Guadeloupe,Turks and Caicos Islands,Saint Martin,Sint Maarten,Mexico
1,245.68661,198.72063,119.4685,134.96173,287.71686,89.33657,118.34115,59.831024,151.96669,79.23249,65.366745,153.18983,89.515564,42.1305,64.88339,24.827953,41.838436,286.55316,2.8226144,26.069641,86.49829,262.22067,145.5517,48.466667,57.756477,45.144596,45.517593,113.51816,40.88233,69.54386,60.059193,58.42144,42.927788,41.645145,41.456223,44.86682,78.85931,46.84499,41.289192,39.78065,72.84014,34.170277,39.567448,39.567448,36.104748
2,226.75241,176.64427,96.589226,119.80595,294.7351,71.38543,79.53068,41.11734,148.95155,51.207832,66.46418,167.63815,82.49502,36.78048,40.44126,28.467714,39.658504,335.84805,3.1944652,26.498692,52.929066,240.04193,141.1315,28.45352,33.33385,32.698166,31.639536,109.72053,36.4216,44.331528,35.3746,40.27585,24.773886,38.47694,31.71754,33.525223,53.600227,32.699753,32.450176,31.03281,51.771675,27.235058,32.39031,32.39031,26.93804
3,245.98412,153.36049,98.294235,116.88841,320.38483,82.92263,79.55597,33.47762,129.58122,50.51327,97.31623,245.53983,97.10777,53.309395,50.140602,54.574547,60.46048,368.6791,11.745412,36.01181,54.356297,210.79597,144.20514,25.017298,28.765999,33.416958,33.599102,114.38069,43.376484,45.445786,37.59581,42.59412,20.528334,55.009094,32.152493,37.606953,49.97989,34.517277,32.9077,32.45376,49.82469,36.356186,33.86428,33.86428,23.177967
4,196.71939,201.15025,163.32571,177.29965,260.22507,158.97565,119.88611,43.51478,127.68768,52.589447,183.21297,347.1925,78.65616,78.16809,71.50821,85.27372,96.36505,353.0044,44.769863,47.577698,59.280827,123.74029,148.08395,41.33627,42.24531,45.06029,42.928295,100.27471,45.54223,61.65063,43.505577,55.40995,30.18545,89.38911,43.443443,50.82106,58.816963,46.315456,46.685074,43.271122,66.63098,43.70184,44.517113,44.517113,32.915585
5,140.54543,286.05292,276.95123,270.618,199.80925,339.69025,357.22647,174.53336,108.90635,163.24736,285.18173,402.73563,86.40298,148.4078,165.08826,138.006,149.20213,299.13742,204.40218,123.88383,124.83159,78.56252,79.17849,45.864697,57.069637,82.764534,56.948803,93.504074,84.143616,84.523155,71.60095,77.64862,42.052303,148.2707,80.47959,65.59859,102.53357,66.5323,92.67449,97.42394,96.935684,75.33887,82.224335,82.224335,69.55873
6,79.27898,224.85504,274.4607,239.66107,154.5209,357.24368,396.23364,234.93472,85.479965,203.44357,303.67776,368.8865,116.97568,106.27906,271.88547,99.8167,108.012924,234.27463,251.05576,138.32565,203.50381,49.411434,66.27869,59.954403,62.789787,65.90182,93.13902,111.7896,104.53542,87.99775,132.35558,91.1967,30.802673,95.596985,62.360294,79.543495,179.3892,106.08159,70.52703,76.37881,90.120026,54.441154,63.543903,63.543903,182.96675
7,58.816673,150.64235,231.62784,182.34608,128.1594,360.47488,381.92215,215.75659,64.550705,179.70444,299.69064,336.29855,110.47531,90.22138,209.94926,77.84177,87.9866,206.03488,183.5902,95.50584,185.57825,40.33394,57.86843,72.03854,66.51931,89.910446,126.20515,122.52248,78.143974,117.79479,154.1763,119.67703,34.01813,93.52905,84.22105,98.7972,194.15463,131.9704,86.83581,92.84605,114.197464,49.16166,80.12826,80.12826,196.16046
8,50.228046,82.835175,171.5793,120.0288,127.04443,373.19467,396.07156,210.67467,58.984043,186.09338,258.1534,303.0785,107.64774,120.22098,231.52843,106.76754,112.36317,168.43034,230.29599,117.08889,180.0923,44.07077,53.121754,73.49019,71.27768,110.41113,150.07445,140.0564,109.799034,138.09132,170.5112,138.6339,40.373512,117.74929,101.77049,115.507164,196.30576,155.41342,107.73754,116.51258,129.54044,88.91504,97.325455,97.325455,207.07156
9,73.108696,38.138874,103.80598,60.63792,166.7552,359.6229,409.96286,229.54926,96.429794,219.06238,198.90314,294.2088,104.67544,161.87859,290.8548,127.88764,127.8744,177.70667,303.96344,147.51083,212.37039,85.03097,90.70709,84.64666,92.252846,135.20027,142.83278,131.44615,125.711716,148.37639,157.96872,144.36319,80.09899,150.05968,128.66307,113.90015,154.95424,155.51025,138.84843,149.2429,145.87402,119.18552,126.16382,126.16382,231.93134
10,120.88587,52.356094,101.92615,59.421402,217.84486,409.27524,462.3379,237.37355,144.19496,228.47237,191.9743,311.75818,84.06193,158.9947,234.71913,133.48933,133.86414,193.93518,237.68816,120.863174,198.20557,141.27231,139.73636,137.15475,151.32077,153.03575,161.57253,155.63303,127.699425,170.28725,169.90547,165.37064,132.85681,149.72305,141.80838,137.45543,179.88797,167.22113,141.41975,150.2401,161.11307,120.87823,140.7972,140.7972,133.89526
11,170.74222,93.75797,124.76814,88.24228,250.46599,354.75656,362.94327,130.65388,149.46335,151.33968,165.41882,281.07928,78.28271,87.441864,119.2817,65.003235,81.43388,203.11531,44.67689,55.807137,137.47975,189.4154,142.80147,154.05814,173.37845,115.702835,144.92212,96.83913,76.618614,147.88756,173.81334,135.11227,143.31387,99.735115,117.91409,111.28963,208.36133,150.13077,126.95084,130.90411,135.5592,80.68084,116.48061,116.48061,55.927746
12,219.7558,161.60756,135.16844,118.990685,280.27707,204.5548,210.41359,75.11332,157.99582,91.32598,104.2854,202.54597,80.70295,56.14026,74.32402,31.217466,50.72104,231.41861,6.9115834,32.853233,91.922,246.83406,149.5717,94.09215,103.76556,67.75244,60.714138,114.07998,45.09257,85.69577,88.98397,68.38527,82.25087,50.27789,63.648365,54.51464,133.13493,66.75891,56.770596,59.873135,85.93773,53.190853,57.332348,57.332348,37.041172
