Epiweeks,Brazil,French Guiana,Guyana,Suriname,Peru,Panama,Costa Rica,Nicaragua,Paraguay,Honduras,Venezuela,Colombia,USA,Jamaica,Guatemala,Haiti,Dominican rep,Ecuador,El Salvador,Cuba,Belize,Bolivia,Argentina,Bonaire,Curacao,Antigua and Barbuda,Barbados,Bermuda,Bahamas,Dominica,Grenada,Martinique,Aruba,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Trinidad and Tobago,Saint Vincent and the Grenadines,British Virgin Islands,United States Virgin Islands,Guadeloupe,Turks and Caicos Islands,Saint Martin,Sint Maarten,Mexico
Week 1 + Week 2,112.08132934570312,91.07481384277344,55.55746841430664,58.90397644042969,132.31736755371094,44.626773834228516,62.18770980834961,27.43903350830078,64.7650375366211,37.89254379272461,31.336483001708984,71.9891357421875,41.61081314086914,20.11103630065918,28.3393497467041,10.866683959960938,19.844877243041992,127.49785614013672,1.3515070676803589,12.843640327453613,38.35152053833008,123.8753662109375,59.94926834106445,22.489770889282227,27.687244415283203,23.475482940673828,23.585203170776367,48.037166595458984,19.48056411743164,35.01785659790039,30.170921325683594,29.56319808959961,21.364757537841797,20.872093200683594,20.82028579711914,22.90070343017578,40.23369216918945,24.63707733154297,21.29998207092285,20.252145767211914,36.4964485168457,17.312063217163086,19.628198623657227,19.628198623657227,16.8969783782959
Week 3 + Week 4,109.6269302368164,88.65782165527344,51.71949005126953,63.121726989746094,128.52330017089844,33.42624282836914,43.44175720214844,24.549654006958008,70.43653106689453,30.994112014770508,27.320552825927734,66.52874755859375,40.041744232177734,17.94570541381836,26.92306137084961,12.154712677001953,18.349668502807617,137.5437469482422,1.0049020051956177,10.52623176574707,35.75027847290039,110.21887969970703,73.38116455078125,19.41316795349121,21.784162521362305,17.136005401611328,16.997386932373047,57.58687973022461,16.980796813964844,26.195354461669922,22.730016708374023,22.34067726135254,15.02255630493164,17.363582611083984,16.137584686279297,17.08308982849121,29.216644287109375,17.03656005859375,15.663653373718262,15.381865501403809,28.170940399169922,13.4844331741333,15.82437515258789,15.82437515258789,14.833464622497559
Week 5 + Week 6,111.88893127441406,82.27265167236328,48.755950927734375,54.8420524597168,143.20114135742188,37.7982177734375,42.07811737060547,22.026884078979492,73.90868377685547,26.87465476989746,33.566200256347656,83.07569885253906,39.67357635498047,18.329303741455078,23.587371826171875,13.476560592651367,19.304502487182617,167.06185913085938,1.254248857498169,14.110907554626465,29.481082916259766,122.63780212402344,69.41989135742188,15.07731819152832,17.605024337768555,16.169801712036133,15.800467491149902,54.948486328125,19.427471160888672,22.670930862426758,17.9412841796875,20.687347412109375,13.471986770629883,18.833711624145508,15.622434616088867,16.842090606689453,27.1230411529541,16.334228515625,16.905933380126953,15.30982780456543,26.612079620361328,13.416430473327637,16.24886131286621,16.24886131286621,16.587881088256836
Week 7 + Week 8,112.68315124511719,93.27099609375,46.43350601196289,63.834129333496094,149.55709838867188,32.94972610473633,36.830379486083984,18.84575653076172,73.90721130371094,23.928897857666016,32.0825309753418,83.0810546875,42.51692581176758,18.271385192871094,16.67321014404297,14.814629554748535,19.947254180908203,165.98731994628906,1.9379538297653198,12.26025676727295,22.93301773071289,115.47473907470703,70.60541534423828,13.112882614135742,15.425551414489746,16.34134292602539,15.615560531616211,53.69164276123047,16.913036346435547,21.227813720703125,17.217742919921875,19.30252456665039,11.111165046691895,19.263532638549805,15.829205513000488,16.465988159179688,25.536365509033203,16.142574310302734,15.321736335754395,15.481432914733887,24.796794891357422,13.695833206176758,15.94387435913086,15.94387435913086,10.279626846313477
Week 9 + Week 10,110.4931640625,73.70508575439453,44.812171936035156,54.958351135253906,149.43148803710938,35.0313835144043,36.27323913574219,15.27831745147705,54.97396469116211,24.051189422607422,40.208953857421875,104.15582275390625,43.67970657348633,19.12520980834961,23.688478469848633,17.864482879638672,21.38469123840332,174.95806884765625,3.8981096744537354,15.499207496643066,26.78167152404785,98.80242919921875,65.46247863769531,11.375869750976562,13.38225269317627,13.953252792358398,12.07214069366455,57.95856475830078,19.803037643432617,19.858457565307617,13.047943115234375,18.40235137939453,9.441134452819824,19.25458335876465,13.391417503356934,15.338902473449707,21.821044921875,12.782296180725098,12.086493492126465,12.361002922058105,21.73725700378418,13.682089805603027,13.130688667297363,13.130688667297363,10.876551628112793
Week 11 + Week 12,112.9600601196289,66.40863037109375,43.05218505859375,50.73014831542969,141.5630340576172,38.94490432739258,36.21738815307617,15.409330368041992,61.82440948486328,22.258785247802734,46.82915496826172,114.10751342773438,41.217838287353516,28.24956703186035,21.311635971069336,30.277015686035156,32.28200149536133,159.7445831298828,6.133264064788818,17.76285743713379,22.821231842041016,95.19073486328125,61.77877426147461,10.555318832397461,12.567197799682617,13.581457138061523,16.429101943969727,47.80018615722656,21.175533294677734,19.50707244873047,19.832218170166016,19.180381774902344,9.145339965820312,25.91212272644043,13.619251251220703,17.567270278930664,22.48830795288086,17.25847053527832,15.746146202087402,14.594669342041016,21.248064041137695,20.00078773498535,14.980657577514648,14.980657577514648,9.867243766784668
Week 13 + Week 14,100.37406921386719,75.33455657958984,61.45001983642578,67.08015441894531,133.09542846679688,55.0672607421875,41.48246383666992,15.502140998840332,54.681358337402344,19.70222282409668,65.30809020996094,145.9951934814453,42.3819465637207,26.033273696899414,27.368980407714844,29.16585350036621,34.128231048583984,168.51657104492188,11.186416625976562,14.650481224060059,25.74399757385254,68.57876586914062,73.61564636230469,16.629207611083984,16.45389175415039,19.521507263183594,20.43659210205078,47.77436828613281,16.05220603942871,24.161243438720703,18.428266525268555,23.34271240234375,10.75294017791748,36.34778594970703,18.033994674682617,23.092288970947266,22.852384567260742,20.86798858642578,18.534282684326172,18.540185928344727,26.69402503967285,14.619977951049805,19.788301467895508,19.788301467895508,13.11223030090332
Week 15 + Week 16,88.83718872070312,100.23487091064453,80.58793640136719,85.6553955078125,115.97698974609375,69.7275161743164,52.569610595703125,18.43828773498535,65.46894073486328,24.343042373657227,93.2039794921875,165.3046417236328,33.05234146118164,40.82304763793945,35.248085021972656,44.91715621948242,52.36018371582031,163.5749969482422,22.078983306884766,23.343244552612305,27.494901657104492,54.89039993286133,70.71723175048828,18.92222023010254,21.57712745666504,23.600929260253906,17.450387954711914,45.07810974121094,18.732271194458008,31.75523567199707,19.38138198852539,25.768308639526367,16.574899673461914,46.7097053527832,24.338499069213867,22.502607345581055,29.015850067138672,20.152788162231445,24.81659698486328,22.436321258544922,35.511226654052734,25.0594425201416,23.621694564819336,23.621694564819336,16.126920700073242
Week 17 + Week 18,79.28048706054688,113.90753173828125,101.77586364746094,108.48783111572266,104.34114074707031,127.31292724609375,95.00375366210938,35.79995346069336,49.337928771972656,36.53037643432617,114.70556640625,182.4029083251953,40.16093826293945,49.17913055419922,40.766700744628906,54.22810363769531,52.07456588745117,151.77740478515625,43.14607620239258,30.040178298950195,29.132251739501953,40.461326599121094,44.54634094238281,22.548330307006836,23.526554107666016,30.76398468017578,25.53716278076172,39.701969146728516,26.316390991210938,36.98488998413086,28.856287002563477,32.533424377441406,15.019231796264648,56.7695198059082,28.241703033447266,27.70264434814453,37.24525451660156,27.609947204589844,29.19688606262207,31.21170425415039,38.630645751953125,20.79482078552246,29.524974822998047,29.524974822998047,18.244905471801758
Week 19 + Week 20,59.98250198364258,134.89622497558594,129.0701446533203,125.52626037597656,87.2464370727539,161.15379333496094,173.8783416748047,82.18827056884766,52.77604675292969,74.03981018066406,129.29957580566406,181.40960693359375,38.01463317871094,73.79661560058594,72.6826171875,64.41644287109375,75.08150482177734,132.60093688964844,86.59955596923828,60.349308013916016,57.77257537841797,35.43128967285156,35.1791877746582,18.47710418701172,23.869836807250977,39.99067306518555,24.87342643737793,44.24295425415039,38.80701446533203,37.89741897583008,29.80942153930664,33.87724304199219,20.04964828491211,69.98954010009766,39.04489517211914,28.26738739013672,43.720130920410156,27.71512222290039,47.721622467041016,49.796607971191406,46.20649337768555,38.685359954833984,37.96293258666992,37.96293258666992,30.800540924072266
