month,Bonaire,Curacao,Netherlands Antilles,Antigua and Barbuda,Argentina,Barbados,Bermuda,Bahamas,Belize,Bolivia,Brazil,Chile,Colombia,Costa Rica,Cuba,Dominica,Dominican Republic,Ecuador,El Salvador,French Guiana,Grenada,Guatemala,Guyana,Haiti,Honduras,Jamaica,Martinique,Mexico,Aruba,Suriname,Nicaragua,Paraguay,Peru,Panama,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Trinidad and Tobago,Saint Vincent and the Grenadines,Venezuela,British Virgin Islands,United States Virgin Islands,Guadeloupe,Turks and Caicos Islands,Saint Martin,Sint Maarten,United States
1,25.698864,25.594978,25.035963,24.951624,21.1147,25.449076,18.317938,22.716846,22.807423,21.496408,25.192957,12.680082,24.1654,22.139544,22.797232,24.442413,22.300194,20.882032,25.255392,24.857399,25.592686,20.538464,24.443586,23.196781,21.434565,23.886782,24.653595,14.910698,25.627005,25.044212,24.01092,27.742764,19.19588,24.497139,23.606962,24.894672,25.3859,25.141369,25.430176,25.115995,24.87085,25.109745,24.65525,24.242277,24.900595,24.900595,-0.51106375
2,25.478235,25.412785,24.740772,24.667908,20.101109,25.224634,17.771969,22.783978,23.768553,21.134768,25.157522,12.651457,24.417562,22.527122,23.253586,24.194048,22.47508,20.970245,25.997,24.927076,25.436352,21.578867,24.5963,23.374147,22.25837,23.957916,24.530617,16.497524,25.479004,25.115427,24.514431,26.96087,19.129974,24.826855,23.559448,24.600546,25.335108,25.193655,25.207874,25.607864,24.577206,24.80891,24.418823,24.074747,24.590466,24.590466,1.1820426
3,25.625431,25.578962,24.806192,24.745007,18.051363,25.357365,17.737337,23.073484,24.89958,21.03269,25.022692,11.363416,24.284626,23.136616,23.881666,24.29136,22.950537,21.032917,26.669432,25.308891,25.611988,22.863379,25.095093,23.731537,23.375957,24.321377,24.783932,18.834282,25.63577,25.507677,25.439121,26.28778,19.084831,25.187881,23.84427,24.66934,25.628868,25.631939,25.351562,26.130611,24.605896,24.862959,24.570034,24.066694,24.64585,24.64585,5.8468175
4,26.140276,26.083595,25.396416,25.335913,14.268438,25.896767,18.890018,24.061415,26.44215,20.262484,24.693434,8.970841,23.920193,23.735981,25.078148,24.864033,23.680647,21.032871,27.360567,25.492575,26.112171,24.323309,25.425783,24.365322,24.868237,25.097998,25.403507,21.627705,26.14628,25.723623,26.644493,23.88953,18.912659,25.399574,24.500664,25.257666,26.23447,26.278803,25.875696,26.127756,25.183567,25.45959,25.191294,24.673307,25.218466,25.218466,10.950916
5,26.770475,26.718937,26.232817,26.13841,10.498108,26.5626,20.878984,25.480007,27.24049,18.294525,23.8294,6.4246984,23.581167,23.630285,26.121878,25.624224,24.404861,20.681744,26.717756,25.335108,26.63363,24.69515,25.062494,25.090887,25.077187,25.748266,26.134693,23.909477,26.753574,25.47634,26.568975,20.180506,18.344713,25.160757,25.28086,26.077278,26.939434,26.601608,26.522257,25.463808,26.01481,26.272062,25.986166,25.77411,26.080965,26.080965,16.151176
6,26.99589,26.970924,26.909325,26.76794,7.863521,26.764599,23.735931,27.052576,27.144903,17.328156,23.299364,4.4469004,23.171484,23.32705,27.07363,26.074125,25.24232,19.887302,25.84575,25.168457,26.594124,24.024164,24.66711,26.124645,24.510166,26.597586,26.436298,25.09114,27.062769,25.245848,25.75824,19.048676,17.660702,24.98347,26.191168,26.716805,27.095549,26.22135,26.679838,24.755991,26.85208,27.009228,26.50684,27.10555,26.835888,26.835888,20.899021
7,26.9067,26.857893,27.084612,26.956522,7.0812726,26.747429,25.83715,27.747574,26.71749,17.003765,23.254963,3.7934823,22.974308,23.028534,27.630737,26.16615,25.554094,19.421936,26.250814,25.299742,26.52608,23.589632,24.606537,26.540121,24.115252,26.98653,26.4258,24.631811,26.90924,25.306679,25.460018,18.48406,17.331629,24.807158,26.48762,26.882473,27.046614,26.103695,26.625639,24.504215,27.11359,27.196074,26.634666,27.535393,27.05547,27.05547,23.704649
8,27.380518,27.34902,27.330175,27.198572,9.181953,26.968245,26.298069,27.951687,26.874454,18.84444,24.403128,4.9148655,23.338392,23.019968,27.654852,26.396769,25.655212,19.645,26.054094,25.983692,26.903637,23.670341,25.112766,26.543503,24.240429,26.95359,26.60139,24.511522,27.421064,25.8982,25.56507,20.7549,17.941511,24.764658,26.572441,27.132837,27.189201,26.477243,26.902082,24.856623,27.336897,27.416264,26.834158,27.790459,27.294535,27.294535,22.915281
9,27.689047,27.635754,27.354342,27.22412,11.59491,27.208336,25.656755,27.53808,26.666973,20.300768,25.314127,6.399261,23.566757,22.920101,27.049328,26.542427,25.3135,20.047005,25.255932,26.867252,27.30226,23.421196,25.897724,26.02888,24.118725,26.544771,26.740482,23.380438,27.72089,26.868114,25.438189,22.57558,18.486393,24.658401,26.283087,27.172794,27.326803,26.857544,27.186354,25.317238,27.341524,27.452,26.913343,27.684797,27.286863,27.286863,18.746397
10,27.398714,27.304182,27.074287,26.942211,15.052991,27.046362,23.926592,26.542255,25.54753,21.643616,25.742105,8.327236,23.669966,22.731,26.114151,26.30592,24.739174,20.38307,25.005741,27.064137,27.159391,22.656445,26.204176,25.368301,23.296658,25.89648,26.473362,21.173996,27.37011,27.247086,25.075672,25.228594,18.928926,24.433489,25.774553,26.897665,27.00298,26.658136,27.010303,25.43449,27.024195,27.13749,26.616898,27.051624,27.000349,27.000349,12.38245
11,26.841349,26.74019,26.459454,26.38431,17.762112,26.608603,21.505154,24.970053,24.073858,21.79363,25.51416,10.013354,23.677986,22.465237,24.714993,25.78957,23.811726,20.523422,25.048723,26.551775,26.635662,21.540077,25.787006,24.490866,22.295336,25.231974,25.930714,17.877394,26.85181,26.77066,24.659224,26.173681,19.105894,24.327923,24.977533,26.312992,26.44547,26.067377,26.567526,25.26119,26.319946,26.490932,26.067265,26.011232,26.343115,26.343115,5.718281
