month,Brazil,French Guiana,Guyana,Suriname,Peru,Panama,Costa Rica,Nicaragua,Paraguay,Honduras,Venezuela,Colombia,USA,Jamaica,Guatemala,Haiti,Dominican rep,Ecuador,El Salvador,Cuba,Belize,Bolivia,Argentina,Bonaire,Curacao,Antigua and Barbuda,Barbados,Bermuda,Bahamas,Dominica,Grenada,Martinique,Aruba,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Trinidad and Tobago,Saint Vincent and the Grenadines,British Virgin Islands,United States Virgin Islands,Guadeloupe,Turks and Caicos Islands,Saint Martin,Sint Maarten,Mexico
1,25.40589,24.857399,24.443586,25.044212,24.389977,24.76814,22.951647,23.984749,27.77749,21.715847,25.240906,25.197483,11.590977,23.843136,21.722326,23.209158,22.41595,23.476402,25.298635,22.80105,22.841818,25.829826,27.415655,25.698864,25.594978,24.951624,25.449076,18.317938,22.716846,24.442413,25.592686,24.653595,25.627005,23.606962,24.894672,25.3859,25.141369,25.430176,24.87085,25.109745,24.65525,24.242277,24.900595,24.900595,19.81729
2,25.384333,24.927076,24.5963,25.115427,24.254528,25.099707,23.358936,24.491886,26.997717,22.501806,25.74235,25.458555,13.329291,23.908545,22.797583,23.401312,22.589493,23.556906,26.03367,23.25629,23.790554,25.478195,26.40769,25.478235,25.412785,24.667908,25.224634,17.771969,22.783978,24.194048,25.436352,24.530617,25.479004,23.559448,24.600546,25.335108,25.193655,25.207874,24.577206,24.80891,24.418823,24.074747,24.590466,24.590466,21.083189
3,25.321201,25.308891,25.095093,25.507677,24.222702,25.459457,23.96701,25.420616,26.331293,23.61231,26.269743,25.288654,16.548285,24.260672,24.143623,23.76493,23.062443,23.618137,26.702309,23.883942,24.896753,25.44166,25.112707,25.625431,25.578962,24.745007,25.357365,17.737337,23.073484,24.29136,25.611988,24.783932,25.63577,23.84427,24.66934,25.628868,25.631939,25.351562,24.605896,24.862959,24.570034,24.066694,24.64585,24.64585,22.849495
4,25.187206,25.492575,25.425783,25.723623,24.148907,25.662516,24.543804,26.627396,23.948421,25.122114,26.252804,24.863169,20.152788,25.025438,25.694683,24.404516,23.788485,23.57849,27.387548,25.079565,26.422104,24.694513,21.88441,26.140276,26.083595,25.335913,25.896767,18.890018,24.061415,24.864033,26.112171,25.403507,26.14628,24.500664,25.257666,26.23447,26.278803,25.875696,25.183567,25.45959,25.191294,24.673307,25.218466,25.218466,24.972385
5,24.580502,25.335108,25.062494,25.47634,23.693386,25.403639,24.355978,26.546335,20.243765,25.385225,25.561031,24.491692,24.006754,25.677214,26.100767,25.131155,24.51495,23.188438,26.743364,26.12328,27.22166,22.769873,18.170893,26.770475,26.718937,26.13841,26.5626,20.878984,25.480007,25.624224,26.63363,26.134693,26.753574,25.28086,26.077278,26.939434,26.601608,26.522257,26.01481,26.272062,25.986166,25.77411,26.080965,26.080965,26.34514
6,24.152328,25.168457,24.66711,25.245848,23.08796,25.22139,24.000774,25.729673,19.121246,24.838509,24.835901,24.076134,26.861042,26.53408,25.361084,26.172995,25.373003,22.360643,25.872778,27.07761,27.15362,22.050188,16.383242,26.99589,26.970924,26.76794,26.764599,23.735931,27.052576,26.074125,26.594124,26.436298,27.062769,26.191168,26.716805,27.095549,26.22135,26.679838,26.85208,27.009228,26.50684,27.10555,26.835888,26.835888,26.227774
7,24.158785,25.299742,24.606537,25.306679,22.808699,25.050247,23.719296,25.430304,18.556969,24.421925,24.58184,23.890482,27.88543,26.91816,24.930157,26.589622,25.699976,21.919188,26.283796,27.635977,26.730658,21.76116,15.692139,26.9067,26.857893,26.956522,26.747429,25.83715,27.747574,26.16615,26.52608,26.4258,26.90924,26.48762,26.882473,27.046614,26.103695,26.625639,27.11359,27.196074,26.634666,27.535393,27.05547,27.05547,25.689499
8,25.272116,25.983692,25.112766,25.8982,23.511587,25.00617,23.707987,25.537159,20.828394,24.55854,24.934229,24.26925,27.920639,26.892479,25.003265,26.580902,25.800121,22.166805,26.083467,27.660576,26.887327,23.679977,18.113869,27.380518,27.34902,27.198572,26.968245,26.298069,27.951687,26.396769,26.903637,26.60139,27.421064,26.572441,27.132837,27.189201,26.477243,26.902082,27.336897,27.416264,26.834158,27.790459,27.294535,27.294535,25.662275
9,26.155512,26.867252,25.897724,26.868114,24.00429,24.89775,23.586842,25.409914,22.656086,24.462706,25.402704,24.503315,25.697073,26.492468,24.705355,26.049477,25.442503,22.529743,25.282898,27.054289,26.689203,25.05849,20.106953,27.689047,27.635754,27.22412,27.208336,25.656755,27.53808,26.542427,27.30226,26.740482,27.72089,26.283087,27.172794,27.326803,26.857544,27.186354,27.341524,27.452,26.913343,27.684797,27.286863,27.286863,24.985613
10,26.3989,27.064137,26.204176,27.247086,24.322134,24.670317,23.389908,25.047205,25.302149,23.631695,25.528097,24.618387,21.101954,25.856337,23.883102,25.38359,24.853933,22.87804,25.036194,26.116528,25.57366,26.141562,23.305922,27.398714,27.304182,26.942211,27.046362,23.926592,26.542255,26.30592,27.159391,26.473362,27.37011,25.774553,26.897665,27.00298,26.658136,27.010303,27.024195,27.13749,26.616898,27.051624,27.000349,27.000349,23.873203
11,25.98327,26.551775,25.787006,26.77066,24.345377,24.572039,23.163528,24.63022,26.2259,22.625076,25.36092,24.624922,16.333153,25.189838,22.740292,24.496965,23.923243,23.02285,25.089518,24.716894,24.106455,26.002535,24.929358,26.841349,26.74019,26.38431,26.608603,21.505154,24.970053,25.78957,26.635662,25.930714,26.85181,24.977533,26.312992,26.44547,26.067377,26.567526,26.319946,26.490932,26.067265,26.011232,26.343115,26.343115,21.96907
12,25.6923,25.598356,24.981277,25.779053,24.41244,24.654924,22.983402,24.231205,27.449993,21.948334,25.156338,24.76316,12.42264,24.35913,21.89653,23.624603,22.924742,23.322956,25.124996,23.475618,23.13106,25.940977,26.709564,26.258984,26.140099,25.600943,26.108847,19.572046,23.618261,25.090368,26.182743,25.300007,26.201342,24.145914,25.535505,25.982096,25.581827,26.063843,25.509558,25.722858,25.320099,24.976133,25.546728,25.546728,20.186724
