Epiweeks,Brazil,French Guiana,Guyana,Suriname,Peru,Panama,Costa Rica,Nicaragua,Paraguay,Honduras,Venezuela,Colombia,USA,Jamaica,Guatemala,Haiti,Dominican rep,Ecuador,El Salvador,Cuba,Belize,Bolivia,Argentina,Bonaire,Curacao,Antigua and Barbuda,Barbados,Bermuda,Bahamas,Dominica,Grenada,Martinique,Aruba,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Trinidad and Tobago,Saint Vincent and the Grenadines,British Virgin Islands,United States Virgin Islands,Guadeloupe,Turks and Caicos Islands,Saint Martin,Sint Maarten,Mexico
Week 1 + Week 2,25.37472915649414,24.844846725463867,24.465303421020508,25.07129669189453,24.398544311523438,24.688264846801758,22.889524459838867,23.92613410949707,27.822389602661133,21.596410751342773,25.174671173095703,25.072914123535156,11.35616397857666,23.852949142456055,21.58842658996582,23.205276489257812,22.430301666259766,23.455909729003906,25.17038917541504,22.78182029724121,22.682748794555664,25.793359756469727,27.629058837890625,25.745446777343773,25.635522460937523,25.055206298828125,25.542962646484398,18.525689697265648,22.77135467529297,24.533135986328148,25.676025390625,24.730056762695312,25.6666259765625,23.628507614135742,24.992272949218773,25.4410400390625,25.166645050048828,25.516082763671875,24.949456787109398,25.190399169921875,24.73365020751953,24.284570312500023,24.986596679687523,24.986596679687523,19.593303680419922
Week 3 + Week 4,25.434158325195312,24.854984283447266,24.40909194946289,24.99720001220703,24.378568649291992,24.834999084472656,22.99177360534668,24.01146697998047,27.79550552368164,21.770898818969727,25.336984634399414,25.378137588500977,11.733095169067383,23.772722244262695,21.7919921875,23.174144744873047,22.37800407409668,23.494991302490234,25.371742248535156,22.68292999267578,22.916606903076172,25.90148162841797,27.246536254882812,25.602044677734398,25.505944824218773,24.7899169921875,25.311059570312523,17.995355224609398,22.51930809020996,24.305474853515648,25.47509765625,24.533432006835938,25.540496826171875,23.528573989868164,24.738824462890648,25.2999267578125,25.1001033782959,25.3035888671875,24.735559082031273,24.970123291015625,24.527511596679688,24.112390136718773,24.755944824218773,24.755944824218773,20.015899658203125
Week 5 + Week 6,25.40837860107422,24.93455696105957,24.532114028930664,25.109914779663086,24.294795989990234,25.008331298828125,23.221757888793945,24.27165985107422,27.210826873779297,22.19925880432129,25.611488342285156,25.415813446044922,12.177342414855957,23.8147029876709,22.38248634338379,23.314477920532227,22.536331176757812,23.52104377746582,25.813589096069336,23.044124603271484,23.40925407409668,25.54761505126953,26.636062622070312,25.523034667968773,25.451959228515648,24.727447509765625,25.276208496093773,17.906976318359398,22.66056251525879,24.244409179687523,25.4658203125,24.549957275390625,25.503692626953125,23.554931640625,24.655725097656273,25.35186767578125,25.1767578125,25.257049560546875,24.624963378906273,24.85711669921875,24.45673370361328,24.116204833984398,24.643945312500023,24.643945312500023,20.48615837097168
Week 7 + Week 8,25.360820770263672,24.91036033630371,24.660680770874023,25.118637084960938,24.210556030273438,25.191490173339844,23.49563217163086,24.712642669677734,26.7933349609375,22.812789916992188,25.87042808532715,25.503662109375,14.44749641418457,24.01015853881836,23.215742111206055,23.494220733642578,22.64542579650879,23.591257095336914,26.256969451904297,23.47870635986328,24.179391860961914,25.408443450927734,26.192899703979492,25.433648681640648,25.374871826171898,24.613037109375,25.174157714843773,17.651605224609398,22.917438507080078,24.147393798828148,25.40594482421875,24.51104736328125,25.45648193359375,23.567808151245117,24.550408935546898,25.315277099609375,25.20903968811035,25.15875244140625,24.533685302734398,24.7650146484375,24.383346557617188,24.041192626953148,24.542443847656273,24.542443847656273,21.665010452270508
Week 9 + Week 10,25.410701751708984,25.158912658691406,24.907512664794922,25.347476959228516,24.197683334350586,25.380556106567383,23.783161163330078,25.055320739746094,26.96278190612793,23.109102249145508,26.148576736450195,25.346981048583984,15.379334449768066,24.041536331176758,23.582733154296875,23.603355407714844,22.85872459411621,23.559785842895508,26.482566833496094,23.42240333557129,24.377058029174805,25.635534286499023,26.00194549560547,25.515222167968773,25.464898681640648,24.637969970703125,25.275262451171898,17.693078613281273,22.780654907226562,24.166772460937523,25.54388427734375,24.631378173828125,25.516143798828125,23.71192169189453,24.561547851562523,25.506683349609375,25.477575302124023,25.26666259765625,24.536218261718773,24.78240966796875,24.444984436035156,23.994622802734398,24.542901611328148,24.542901611328148,22.19971466064453
Week 11 + Week 12,25.241378784179688,25.423349380493164,25.22229766845703,25.61911392211914,24.253257751464844,25.4989070892334,24.07042694091797,25.639341354370117,25.857406616210938,23.880033493041992,26.341625213623047,25.252012252807617,17.328872680664062,24.403900146484375,24.460798263549805,23.88731575012207,23.2161808013916,23.66379737854004,26.81601905822754,24.144014358520508,25.18134880065918,25.301292419433594,24.51283073425293,25.689447021484398,25.649377441406273,24.847381591796875,25.419976806640648,17.682550048828148,23.20073699951172,24.404046630859398,25.661102294921875,24.901596069335938,25.71343994140625,23.963804244995117,24.767144775390648,25.713897705078125,25.731653213500977,25.406982421875,24.665521240234398,24.931976318359375,24.68537139892578,24.078698730468773,24.734735107421898,24.734735107421898,23.26055335998535
Week 13 + Week 14,25.321630477905273,25.528383255004883,25.414539337158203,25.74909019470215,24.203235626220703,25.683652877807617,24.465229034423828,26.313817977905273,25.14617347717285,24.85689353942871,26.47950553894043,25.052324295043945,18.796422958374023,24.793506622314453,25.47090721130371,24.1845760345459,23.551042556762695,23.634571075439453,27.384830474853516,24.803503036499023,26.13558006286621,25.167863845825195,23.232248306274414,25.961236572265648,25.902520751953148,25.032806396484375,25.651818847656273,18.398370361328148,23.75045394897461,24.603570556640648,25.913848876953125,25.132965087890625,25.961669921875,24.167898178100586,24.950891113281273,25.956512451171875,26.092884063720703,25.64654541015625,24.859643554687523,25.13433837890625,24.908653259277344,24.412408447265648,24.899835205078148,24.899835205078148,24.362695693969727
Week 15 + Week 16,25.14649200439453,25.465396881103516,25.442874908447266,25.72878646850586,24.130102157592773,25.712005615234375,24.57217788696289,26.724552154541016,23.620561599731445,25.12038230895996,26.155248641967773,24.79581069946289,20.51192855834961,25.05281639099121,25.616981506347656,24.39674186706543,23.787582397460938,23.562236785888672,27.39392852783203,25.073984146118164,26.35927963256836,24.56571388244629,21.48413848876953,26.183068847656273,26.124993896484398,25.400238037109375,25.993615722656273,19.017327880859398,24.096033096313477,24.931878662109398,26.18975830078125,25.488677978515625,26.189178466796875,24.57073402404785,25.322351074218773,26.34014892578125,26.328826904296875,25.9708251953125,25.266931152343773,25.539276123046875,25.25543212890625,24.688775634765648,25.297601318359398,25.297601318359398,25.085914611816406
Week 17 + Week 18,24.798789978027344,25.44110870361328,25.301664352416992,25.61903190612793,23.89318084716797,25.419525146484375,24.52120590209961,26.899948120117188,21.4686222076416,25.590545654296875,25.86046028137207,24.602365493774414,22.410568237304688,25.413358688354492,26.2753963470459,24.75933265686035,24.176734924316406,23.424402236938477,27.236072540283203,25.79862403869629,27.14630699157715,23.424074172973633,19.52910614013672,26.442163085937523,26.387536621093773,25.725372314453125,26.217889404296898,19.873925781250023,24.860370635986328,25.216210937500023,26.3580322265625,25.785247802734375,26.442413330078125,24.877212524414062,25.673547363281273,26.620086669921875,26.504430770874023,26.18096923828125,25.595300292968773,25.873382568359375,25.55841064453125,25.265039062500023,25.651391601562523,25.651391601562523,25.99348258972168
Week 19 + Week 20,24.63326644897461,25.33939552307129,25.04639434814453,25.476879119873047,23.766571044921875,25.48212242126465,24.43031883239746,26.628501892089844,20.456388473510742,25.45508575439453,25.561010360717773,24.541582107543945,24.003454208374023,25.7050838470459,26.152843475341797,25.167251586914062,24.51865005493164,23.23147964477539,26.941137313842773,26.174959182739258,27.243234634399414,22.978412628173828,18.37166976928711,26.822045898437523,26.775262451171898,26.1953125,26.626947021484398,20.848992919921898,25.52993392944336,25.689508056640648,26.6961669921875,26.1976318359375,26.793304443359375,25.29530143737793,26.126519775390648,26.9940185546875,26.660053253173828,26.592376708984375,26.047448730468773,26.306365966796875,26.04913330078125,25.788934326171898,26.135156250000023,26.135156250000023,26.401914596557617
