Epiweeks,Brazil,French Guiana,Guyana,Suriname,Peru,Panama,Costa Rica,Nicaragua,Paraguay,Honduras,Venezuela,Colombia,USA,Jamaica,Guatemala,Haiti,Dominican rep,Ecuador,El Salvador,Cuba,Belize,Bolivia,Argentina,Bonaire,Curacao,Antigua and Barbuda,Barbados,Bermuda,Bahamas,Dominica,Grenada,Martinique,Aruba,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Trinidad and Tobago,Saint Vincent and the Grenadines,British Virgin Islands,United States Virgin Islands,Guadeloupe,Turks and Caicos Islands,Saint Martin,Sint Maarten,Mexico
W 1 + W 2 + W 3,25.3797664642334,24.854604721069336,24.444578170776367,25.05023765563965,24.366945266723633,24.7075252532959,22.906118392944336,23.95428466796875,27.791078567504883,21.650314331054688,25.208786010742188,25.1309814453125,11.38721752166748,23.833044052124023,21.641738891601562,23.210647583007812,22.431533813476562,23.456096649169922,25.20163917541504,22.75118064880371,22.76287269592285,25.815711975097656,27.47367286682129,25.70653533935547,25.60215187072754,24.999897003173828,25.47962188720703,18.413423538208008,22.705150604248047,24.485164642333984,25.618886947631836,24.68186378479004,25.635950088500977,23.6090145111084,24.943174362182617,25.40558433532715,25.1463565826416,25.456768035888672,24.899797439575195,25.13846778869629,24.694656372070312,24.26322364807129,24.93820571899414,24.93820571899414,19.675352096557617
W 4 + W 5 + W 6,25.431745529174805,24.901660919189453,24.493093490600586,25.06870460510254,24.34765625,24.980199813842773,23.162595748901367,24.185222625732422,27.428070068359375,22.06073760986328,25.539976119995117,25.446929931640625,12.123852729797363,23.79388427734375,22.200204849243164,23.25194549560547,22.46489143371582,23.525196075439453,25.702171325683594,22.921401977539062,23.24285888671875,25.67925453186035,26.867433547973633,25.540525436401367,25.460153579711914,24.715158462524414,25.273876190185547,17.871978759765625,22.59566879272461,24.236835479736328,25.459022521972656,24.527149200439453,25.50463104248047,23.532323837280273,24.64804458618164,25.32299041748047,25.149333953857422,25.261016845703125,24.640161514282227,24.873260498046875,24.450599670410156,24.078929901123047,24.652809143066406,24.652809143066406,20.388227462768555
W 7 + W 8 + W 9,25.36130142211914,24.973804473876953,24.732093811035156,25.1894474029541,24.190771102905273,25.25518798828125,23.584243774414062,24.81351661682129,26.94462013244629,22.90724754333496,25.966859817504883,25.446266174316406,14.579955101013184,24.01796531677246,23.324831008911133,23.533203125,22.70804214477539,23.56456184387207,26.335554122924805,23.457151412963867,24.23472023010254,25.522836685180664,26.2601261138916,25.453187942504883,25.39612579345703,24.63583755493164,25.197092056274414,17.698970794677734,22.871498107910156,24.14890480041504,25.450693130493164,24.53903579711914,25.46710968017578,23.61629295349121,24.56796646118164,25.35854148864746,25.28335189819336,25.1868953704834,24.547080993652344,24.780956268310547,24.401689529418945,24.040416717529297,24.558460235595703,24.558460235595703,21.782560348510742
W 10 + W 11 + W 12,25.313962936401367,25.354610443115234,25.128238677978516,25.534038543701172,24.250225067138672,25.45878028869629,23.981901168823242,25.458023071289062,26.131061553955078,23.62737274169922,26.273561477661133,25.288833618164062,16.857179641723633,24.285755157470703,24.181354522705078,23.790058135986328,23.105514526367188,23.645328521728516,26.701486587524414,23.906259536743164,24.923799514770508,25.374011993408203,24.878326416015625,25.639062881469727,25.59663200378418,24.763078689575195,25.382474899291992,17.652515411376953,23.061054229736328,24.32990837097168,25.623268127441406,24.82362174987793,25.656963348388672,23.87939453125,24.684783935546875,25.665382385253906,25.662155151367188,25.368093490600586,24.609920501708984,24.8719482421875,24.607450485229492,24.035953521728516,24.654998779296875,24.654998779296875,22.96762466430664
W 13 + W 14 + W 15,25.270902633666992,25.49950408935547,25.422283172607422,25.729700088500977,24.17819595336914,25.701034545898438,24.486154556274414,26.4061279296875,24.69647789001465,24.904159545898438,26.408435821533203,25.003225326538086,19.13624382019043,24.85189437866211,25.479217529296875,24.2398738861084,23.598020553588867,23.632104873657227,27.38197898864746,24.869216918945312,26.167285919189453,24.987558364868164,22.72389030456543,25.993391036987305,25.934093475341797,25.100624084472656,25.726499557495117,18.526418685913086,23.844970703125,24.663002014160156,25.964807510375977,25.20572853088379,25.994110107421875,24.25535011291504,25.016399383544922,26.040136337280273,26.12655258178711,25.716222763061523,24.941011428833008,25.21329116821289,24.965106964111328,24.488677978515625,24.97406005859375,24.97406005859375,24.510337829589844
W 16 + W 17 + W 18,24.90703773498535,25.457080841064453,25.350439071655273,25.66823959350586,23.97281265258789,25.509092330932617,24.552915573120117,26.886077880859375,22.12709617614746,25.474390029907227,25.92171287536621,24.630443572998047,22.009700775146484,25.321224212646484,26.09630584716797,24.653900146484375,24.078882217407227,23.44870376586914,27.294578552246094,25.581518173217773,26.92681884765625,23.78421401977539,20.10643768310547,26.397621154785156,26.34259033203125,25.671695709228516,26.18242073059082,19.6666202545166,24.62626838684082,25.171483993530273,26.342998504638672,25.732181549072266,26.40135955810547,24.821882247924805,25.614809036254883,26.571022033691406,26.490890502929688,26.14934539794922,25.540246963500977,25.818012237548828,25.51656723022461,25.088809967041016,25.591838836669922,25.591838836669922,25.784393310546875
W 19 + W 20 + W 21,24.55001449584961,25.31011962890625,24.996135711669922,25.43768882751465,23.67367172241211,25.406686782836914,24.30931854248047,26.428306579589844,20.077608108520508,25.32595443725586,25.49207305908203,24.47996711730957,24.47358512878418,25.762176513671875,26.054800033569336,25.27251434326172,24.639469146728516,23.133028030395508,26.600536346435547,26.225154876708984,27.253908157348633,22.705184936523438,17.904211044311523,26.87009620666504,26.8216552734375,26.277612686157227,26.656949996948242,21.1619873046875,25.674514770507812,25.750022888183594,26.708967208862305,26.238147735595703,26.847888946533203,25.42962074279785,26.211666107177734,27.027132034301758,26.630863189697266,26.619251251220703,26.154504776000977,26.403278350830078,26.12306022644043,25.935916900634766,26.22410774230957,26.22410774230957,26.430164337158203
W 22 + W 23 + W 24,24.178747177124023,25.152002334594727,24.695035934448242,25.246912002563477,23.16193389892578,25.257768630981445,24.052581787109375,25.826082229614258,19.27666664123535,24.930322647094727,24.926671981811523,24.139968872070312,26.624479293823242,26.391101837158203,25.5078125,26.027631759643555,25.257343292236328,22.49365234375,25.841955184936523,26.909330368041992,27.25242042541504,22.10651206970215,16.59449005126953,27.043699264526367,27.01665687561035,26.720928192138672,26.774391174316406,23.220983505249023,26.845897674560547,26.054309844970703,26.627696990966797,26.423076629638672,27.115766525268555,26.071441650390625,26.668724060058594,27.09673309326172,26.271728515625,26.688154220581055,26.768571853637695,26.946353912353516,26.471843719482422,26.96269416809082,26.764156341552734,26.764156341552734,26.39205551147461
W 25 + W 26 + W 27,24.07085418701172,25.16383934020996,24.567602157592773,25.19835662841797,22.867725372314453,25.094131469726562,23.8056640625,25.452491760253906,18.598316192626953,24.524765014648438,24.618921279907227,23.906368255615234,27.489643096923828,26.81247901916504,24.980558395385742,26.468931198120117,25.60677719116211,22.047531127929688,25.94081687927246,27.45903778076172,26.844493865966797,21.746252059936523,15.726210594177246,26.866310119628906,26.826091766357422,26.87592887878418,26.72905158996582,25.036155700683594,27.507461547851562,26.116914749145508,26.50078773498535,26.424501419067383,26.88922882080078,26.429651260375977,26.816436767578125,27.044818878173828,26.078777313232422,26.628503799438477,27.032541275024414,27.136058807373047,26.582555770874023,27.40134048461914,26.9914608001709,26.9914608001709,25.7410945892334
W 28 + W 29 + W 30,24.234756469726562,25.386682510375977,24.652009963989258,25.383193969726562,22.830774307250977,25.063146591186523,23.718307495117188,25.47492790222168,18.571760177612305,24.440462112426758,24.59717559814453,23.9226016998291,27.994003295898438,26.9577693939209,24.959352493286133,26.625905990600586,25.731428146362305,21.889450073242188,26.44916343688965,27.692237854003906,26.734468460083008,21.841712951660156,15.74499797821045,26.95911979675293,26.912879943847656,26.99518585205078,26.765605926513672,26.097379684448242,27.83138656616211,26.194154739379883,26.5616512298584,26.44546890258789,26.962047576904297,26.5093936920166,26.920080184936523,27.07016372680664,26.14825439453125,26.645082473754883,27.150590896606445,27.233278274536133,26.663150787353516,27.578670501708984,27.084056854248047,27.084056854248047,25.760576248168945
